Sector,Name,Price,52 Week High,52 Week Low
Financials,State Street Corp.,98.54,114.27,75.27
Industrials,Stericycle Inc,70.55,88.0,61.25
Health Care,Stryker Corp.,148.01,170.0,122.01
Financials,SunTrust Banks,65.8,72.06,51.96
Information Technology,Symantec Corp.,25.59,34.2,25.65
Financials,Synchrony Financial,34.98,40.59,26.01
Information Technology,Synopsys Inc.,82.62,94.8,64.75
Consumer Staples,Sysco Corp.,57.0,64.27,48.85
Financials,T. Rowe Price Group,101.99,120.07,66.7
Consumer Discretionary,"Tapestry, Inc.",48.85,50.71,36.69
Consumer Discretionary,Target Corp.,71.11,78.7,48.56
Information Technology,TE Connectivity Ltd.,95.27,108.23,71.93
Energy,TechnipFMC,29.1,35.0,24.53
Information Technology,Texas Instruments,97.66,120.75,74.52
Industrials,Textron Inc.,55.54,62.19,45.0
Financials,The Bank of New York Mellon Corp.,53.29,58.99,44.91
Consumer Staples,The Clorox Company,127.76,150.4,124.09
Health Care,The Cooper Companies,223.17,256.39,187.02
Consumer Staples,The Hershey Company,97.65,116.49,98.851
Materials,The Mosaic Company,24.13,34.36,19.23
Financials,The Travelers Companies Inc.,135.01,150.55,113.76
Consumer Discretionary,The Walt Disney Company,101.35,116.1,96.2
Health Care,Thermo Fisher Scientific,198.73,226.44,151.69
Consumer Discretionary,Tiffany & Co.,99.62,111.44,77.93
Consumer Discretionary,Time Warner Inc.,93.02,103.9,85.88
Consumer Discretionary,TJX Companies Inc.,74.36,81.46,66.44
Financials,Torchmark Corp.,80.52,93.595,73.53
Information Technology,Total System Services,81.17,89.92,50.96
Consumer Discretionary,Tractor Supply Company,65.94,82.68,49.87
Industrials,TransDigm Group,283.0,321.38,203.72
Consumer Discretionary,TripAdvisor,40.05,53.29,29.5
Consumer Discretionary,Twenty-First Century Fox Class A,34.56,39.135,24.81
Consumer Discretionary,Twenty-First Century Fox Class B,34.09,38.56,24.3
Consumer Staples,Tyson Foods,73.92,84.65,57.2
Financials,U.S. Bancorp,52.65,58.5,49.535
Real Estate,UDR Inc,32.92,40.71,33.31
Consumer Discretionary,Ulta Salon Cosmetics & Fragrance Inc,209.09,314.86,187.96
Consumer Discretionary,Under Armour Class A,13.14,23.46,11.4
Consumer Discretionary,Under Armour Class C,11.95,21.805,10.36
Industrials,Union Pacific,124.86,143.05,101.06
Industrials,United Continental Holdings,63.37,83.04,56.51
Health Care,United Health Group Inc.,216.46,250.79,156.49
Industrials,United Parcel Service,109.28,135.53,102.12
Industrials,"United Rentals, Inc.",161.99,189.0,100.621
Industrials,United Technologies,127.48,139.24,107.05
Health Care,"Universal Health Services, Inc.",114.87,129.74,95.26
Financials,Unum Group,47.87,58.73,43.55
Consumer Discretionary,V.F. Corp.,78.75,82.95,48.05
Energy,Valero Energy,86.77,99.95,60.69
Health Care,Varian Medical Systems,112.82,130.29,77.73
Real Estate,Ventas Inc,50.92,72.36,51.8
Information Technology,Verisign Inc.,105.62,118.28,81.17
Industrials,Verisk Analytics,92.28,100.54,75.6
Telecommunication Services,Verizon Communications,49.04,54.77,42.8
Health Care,Vertex Pharmaceuticals Inc,151.6,174.955,84.39
Consumer Discretionary,Viacom Inc.,32.71,46.72,22.13
Information Technology,Visa Inc.,113.86,126.88,84.88
Real Estate,Vornado Realty Trust,66.18,111.72,66.0101
Materials,Vulcan Materials,121.47,141.2,108.95
Consumer Staples,Wal-Mart Stores,100.02,109.98,66.89
Consumer Staples,Walgreens Boots Alliance,68.22,88.0,63.82
Industrials,Waste Management Inc.,79.12,89.73,69.55
Health Care,Waters Corporation,191.79,220.2,145.94
Utilities,Wec Energy Group Inc,59.5,70.09,56.63
Financials,Wells Fargo,55.4,66.31,49.27
Real Estate,Welltower Inc.,54.67,78.17,55.29
Information Technology,Western Digital,80.09,95.77,71.38
Information Technology,Western Union Co,18.81,22.21,18.39
Materials,WestRock Company,60.93,71.55,49.23
Real Estate,Weyerhaeuser Corp.,33.6,37.89,30.9504
Consumer Discretionary,Whirlpool Corp.,164.95,202.99,158.8
Energy,Williams Cos.,28.56,33.67,26.8188
Financials,Willis Towers Watson,152.36,165.0,120.869
Consumer Discretionary,Wyndham Worldwide,113.56,127.96,80.11
Consumer Discretionary,Wynn Resorts Ltd,169.28,203.63,92.67
Utilities,Xcel Energy Inc,42.44,52.22,41.16
Information Technology,Xerox Corp.,29.8,37.42,26.64
Information Technology,Xilinx Inc,62.82,77.26,54.99
Financials,XL Capital,41.26,47.27,33.77
Industrials,Xylem Inc.,70.24,76.81,46.86
